SaPS,rnk_SaPS,PdPS,rnk_PdPS,PLAAC,rnk_PLAAC,PScore,rnk_PScore,catGRANULE,rnk_catGRANULE,Protein,Gene
0.1496212631464,0.6362783057608821,0.590029597282409,0.803707614689663,-0.389,0.135836619386734,-0.6900000000000001,0.08530775582798701,1.11597,0.9288396104657981,Q7TN79,Akap7 Akap18
0.019631747156381,0.24070163088114502,0.552898168563842,0.7565411240173641,-0.249,0.49190748043081606,0.43,0.37076796036333604,0.5885009999999999,0.71547577144198,Q8CJG1,Ago1 Eif2c1
0.013172176666557001,0.14144080722750202,0.093532159924507,0.179748914701396,-0.378,0.15508210228944702,,,-0.534692,0.14179279596386202,P97783,Mllt11 Af1q
0.12460603564977601,0.6016660800187721,0.6383391618728631,0.865774961867886,-0.07200000000000001,0.864045671237714,1.83,0.7443308136949751,0.8689,0.8569752434588761,Q8C033,Arhgef10 Kiaa0294
0.022635834291577003,0.27766044819899,0.051663376390933005,0.01947671007861,-0.28500000000000003,0.386557589311988,0.21,0.30381756971352303,-0.848595,0.079080136102311,P35374,Agtr2
0.025944877415895,0.30963275841839705,0.37487977743148804,0.5564355273964561,-0.228,0.552763227591077,1.96,0.7677698024518831,0.325549,0.550627713246509,Q9CZK6,Anks3 Kiaa1977
0.37830585241317705,0.791153349759474,0.649233222007751,0.878622550745042,-0.078,0.857159672767935,2.66,0.864955853395159,0.362484,0.575208260002346,Q5F259,Ankrd13b
0.264183104038238,0.729672650475184,0.605206847190856,0.8234776487152411,-0.189,0.6588193749632151,4.83,0.972305151495902,0.636103,0.744514842191716,Q8R0Z6,Angptl6 Agf
0.025291401892900002,0.304411592162384,0.05781763046979901,0.06887246274785801,-0.293,0.36130892825613503,1.03,0.5571365051133831,0.24076799999999998,0.49571747037428104,Q9JJJ3,Aqp9
0.018956227228045002,0.230435292737299,0.312626212835311,0.497712073213657,-0.257,0.46695309281384206,-0.78,0.07146033157593801,0.400203,0.6002581250733311,Q8VD46,Asz1 Gasz
0.27071887254714905,0.733133873049395,0.51819622516632,0.711075912237475,-0.066,0.869401447825319,2.07,0.7864447691037281,1.44154,0.970491610935116,P00688,Amy2 Amy2a
0.012160511687397001,0.126305291564003,0.08255872875452,0.15422973131526402,-0.33,0.257194985580601,-0.61,0.09813885536428801,0.132987,0.42713833157338904,Q8BZ25,Ankk1
0.027649950236082,0.323946967030388,0.173400729894638,0.328053502287926,-0.321,0.28273792007533405,0.92,0.523724830083211,0.27600399999999997,0.519242050921037,Q6NXK8,Asic1 Accn2 Asic Bnac2
0.032435037195682005,0.355039305408893,0.40242624282836903,0.582424029097735,-0.446,0.064857865929021,-0.87,0.058502191450168,0.318297,0.5468145019359381,Q9CQC6,Bzw1
0.02377506904304,0.289569400445852,0.111406087875366,0.21441980523289902,-0.2,0.6310399623329991,1.55,0.6874801499078951,0.499195,0.6617388243576201,Q8R066,C1qtnf4 Ctrp4
0.10645500570535602,0.574269623372052,0.388686478137969,0.569635105009973,-0.389,0.135836619386734,2.27,0.8159817061551161,0.196401,0.46603308694121703,Q8K2Y9,Ccm2 Osm
0.065420188009738,0.48533380265164805,0.542292118072509,0.7398216590402441,-0.41500000000000004,0.097639927020187,1.83,0.7443308136949751,0.8176059999999999,0.836501231960577,O08529,Capn2
0.10260232537984801,0.566936524697876,0.48988127708435003,0.677226328757479,-0.193,0.6499911717968331,0.78,0.479324144064028,1.01182,0.9030271031326991,P06797,Ctsl Ctsl1
0.133432999253273,0.6151589815792561,0.45318523049354503,0.6341663733427191,-0.136,0.769407333294096,2.34,0.82563679095471,0.7110339999999999,0.787398803238296,Q9D7Q1,Chit1
0.132949039340019,0.614220344948961,0.19029238820075903,0.35281004341194405,-0.258,0.463951503737272,0.11,0.26970717144127504,0.057582499999999995,0.38190777895107303,P27548,Cd40lg Cd40l Tnfsf5
0.025742253288626,0.307814149947201,0.265880167484283,0.448961633227736,-0.47200000000000003,0.047848861161791004,-0.62,0.09604268563806101,0.0081514,0.35386600962102505,P29452,Casp1 Il1bc
0.6252446174621581,0.8980992608236531,0.33998668193817105,0.5239352340725091,-0.23600000000000002,0.530104172797363,1.34,0.639585847678333,1.0154,0.904200398920567,Q6ZQ06,Cep162 Kiaa1009 Qn1
0.337439715862274,0.770444679103602,0.635771512985229,0.862431068872462,-0.21,0.6044964981460771,2.14,0.7983865845137521,0.7131409999999999,0.788396104657984,Q8BI22,Cep128
0.36950427293777405,0.786988149712542,0.427917093038558,0.606652587117212,-0.084,0.848978871167088,1.94,0.7645302674204401,0.192317,0.463334506629121,Q3TJM4,Cenpt
0.015435720793902001,0.178458289334741,0.19017130136489802,0.35263404904376305,-0.258,0.463951503737272,0.31,0.33418027059645505,-0.381204,0.18479408658922902,P01731,Cd8a Lyt-2 Lyt2
0.695392787456512,0.92490906957644,0.64221966266632,0.8697641675466381,-0.09,0.842857983638396,1.08,0.5701581655338881,0.784837,0.822011028980406,Q9CXS4,Cenpv Prr6
0.09337742626667,0.5509210371934761,0.327156364917755,0.5115569635105011,-0.397,0.12377140839267801,,,0.835804,0.843306347530212,Q99JP4,Cdc26
0.009364189580082,0.08213070515076801,0.067720249295234,0.110172474480816,-0.43,0.08174916132069901,,,-2.02517,0.00586647893934,Q9CQP3,Chchd5
0.015462485142052002,0.17875161328170802,0.120645187795162,0.23383785052211603,-0.395,0.126361014654817,-0.6000000000000001,0.10036206567998401,0.020010899999999998,0.361081778716414,Q80YP0,Cdk3 Cdk3-ps Cdkn3
0.18885698914527801,0.674469083655989,0.21964344382286002,0.39393406077672105,-0.40800000000000003,0.106997822376552,0.14,0.2792352156514,0.185963,0.458817317845828,Q8C1Y8,Ccz1
0.067703232169151,0.491317611169775,0.09325413405895201,0.179044937228675,-0.264,0.445647695838973,2.37,0.8293209680492911,0.08901189999999999,0.40103250029332305,P98191,Cds1 Cds
0.011085513979196,0.10911650827173501,0.054499574005603006,0.046579842778364,-0.41400000000000003,0.098640456712377,-0.27,0.16750301721399902,-0.588077,0.128769212718526,P51683,Ccr2 Cmkbr2
0.692198395729064,0.9237357737885721,0.498764842748641,0.6866126950604241,0.021,0.9323759637455121,4.72,0.9705265832433461,0.941217,0.8818491141616801,Q91Z58,
0.006664003245532001,0.014372873401384002,0.049785710871219004,0.005983808518127001,-0.291,0.36760637984815403,-0.75,0.07590675220733001,-0.799294,0.08782118972192801,P47774,Ccr7 Cmkbr7 Ebi1 Ebi1h
0.035847395658493,0.372462747858735,0.06174470856785701,0.08864249677343601,-0.256,0.46977811782708406,0.30000000000000004,0.331321857333418,-0.0449062,0.325941569869764,P10810,Cd14
0.016971115022897002,0.20180687551331603,0.22527685761451702,0.40091517071453703,-0.308,0.31840386086751804,-0.6000000000000001,0.10036206567998401,0.39819299999999996,0.5986155109703151,Q6P8Y0,Cfap161
0.080918654799461,0.523759239704329,0.377821296453475,0.559310102076733,-0.14400000000000002,0.753163439467953,1.51,0.6780156259925041,1.08365,0.9219758301067691,Q9JMB8,Cntn6
0.877590060234069,0.972955532089639,0.7283970117568971,0.954652117798897,0.329,0.9920546171502561,5.57,0.9841199263164581,0.8627739999999999,0.855097970198287,Q8K0V4,Cnot3 Not3
0.9312197566032411,0.9869177519652701,0.558051764965057,0.76387422269154,0.066,0.9505620622682591,6.78,0.9928222066950391,4.45852,0.9980053971606241,Q64739,Col11a2
0.936073124408721,0.9875630646485971,0.780247807502746,0.980229965974422,0.044,0.9433229356718261,10.88,0.998221431747443,3.5742000000000003,0.9968321013727561,P60824,Cirbp Cirp
0.053779758512973,0.450897571277719,0.276823312044143,0.46151589815792504,-0.051000000000000004,0.882702607262668,,,-0.239037,0.23682975478118,Q91VN2,Gm5617
0.018707882612943,0.22720872932066102,0.162879705429077,0.31239000351988705,-0.306,0.32440703902065804,0.8300000000000001,0.49602998157911404,-0.516756,0.146661973483515,Q1ERP8,Cd300lg Clm9 D11Ertd736e
0.010754615068435001,0.10225272791270601,0.06229762360453601,0.09075442919159901,-0.507,0.029368489200164,,,-0.809847,0.08617857561891301,Q3KNL4,
0.061849810183048005,0.47547811803355605,0.119132876396179,0.23090461105244603,-0.355,0.200635630627979,0.13,0.27605920091469205,-1.15083,0.041710665258711005,Q62225,Cish Cis
0.023180700838565,0.28411357503226503,0.10502944886684401,0.20309750087997103,-0.281,0.399034783120475,,,-0.324112,0.20344948961633202,Q9CX25,
0.15332733094692202,0.640267511439633,0.30364590883255005,0.48809104775313805,-0.153,0.7370372550173621,4.27,0.9593470113701321,0.988459,0.8975126129297191,Q8VHS2,Crb1
0.178871065378189,0.664789393406077,0.162304311990737,0.310923383785052,-0.228,0.552763227591077,0.06,0.25605030807342904,-0.237256,0.23759239704329402,Q9D131,
0.015634926036000002,0.18127419922562402,0.11295014619827201,0.21711838554499502,-0.30000000000000004,0.34106291566123204,1.18,0.596137966080162,-0.5131300000000001,0.147717939692596,Q8VEA6,Chrdl2 Chl2
0.5418158769607541,0.8646603308694121,0.315704405307769,0.500879971840901,-0.08600000000000001,0.846977811782708,4.17,0.9558533951597531,1.77366,0.9859791153349761,Q923L3,Csmd1
0.6557068228721611,0.9098908834917281,0.383246541023254,0.564472603543353,-0.147,0.7479253722559001,3.25,0.913167757098392,-0.0676615,0.31514724862137705,Q32M26,
0.43537935614585804,0.8172005162501461,0.270832568407058,0.45494544174586404,0.023,0.9333764934377021,1.82,0.7421076033792791,0.5495249999999999,0.692713833157338,Q9DAQ5,
0.5348492264747621,0.8617857561891351,0.30420264601707403,0.48850170127889203,-0.055,0.879759872873874,3.88,0.94499142476021,1.8456800000000002,0.9875043998592041,Q80T79,Csmd3 Kiaa1894
0.257996380329132,0.725918103954006,0.685257375240325,0.918690601900739,-0.333,0.250485551174151,2.14,0.7983865845137521,0.48609399999999997,0.6539364073682971,Q8CID0,Kat14 Csrp2bp
0.026119038462638,0.31139270210019904,0.24266815185546803,0.422738472368884,-0.318,0.29038902948619805,-0.2,0.18420885472908502,0.07225179999999999,0.39105948609644403,Q64481,Cyp3a16 Cyp3a-16
0.17176058888435303,0.657573624310688,0.18150278925895602,0.34054910242872205,-0.154,0.7348007768818781,0.24,0.313663215397319,-0.158846,0.27167663968086303,Q8BSU2,Cxcl16 Srpsox
0.010279035195708,0.094450310923383,0.382981479167938,0.564120614806992,-0.334,0.24871991054087403,-0.65,0.09146922441720101,-0.133575,0.28270562008682304,Q504P2,Clec12a Micl
